Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
1,also I was the point person on my companys transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731"
2,You mustve had your hands full.,The Interviewer,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442"
3,That I did. That I did.,Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389"
4,So lets talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572"
5,My duties?  All right.,Chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917"
6,"Now youll be heading a whole division, so youll have a lot of duties.",The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337"
7,I see.,Chandler,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886"
8,But therell be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514"
9,Good to know.,Chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478"
10,We can go into detail,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719"
11,No dont I beg of you!,Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858"
12,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324"
13,Really?!,Chandler,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536"
14,Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707"
15,But then who? The waitress I went out with last month?,Joey,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824"
16,You know? Forget it!,Rachel,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578"
17,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122"
18,"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791"
19,Ok!,Joey,neutral,neutral,1,4,9,23,"00:36:52,376","00:36:53,543"
20,"All right, well...",Joey,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000"
23,"Yeah, sure!",Rachel,neutral,neutral,1,8,9,23,"0:36:59,425","0:37:01,439"
24,"Hey, Mon.",Chandler,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433"
25,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897"
26,Do I ever.,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743"
27,Chris says theyre closing down the bar.,Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734"
28,No way!,Chandler,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774"
29,"Yeah, apparently theyre turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152"
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157"
31,Got me.,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157"
32,Can I get a beer.,Chandler,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035"
33,"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019"
34,You betcha!,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973"
35,Is it the Italian guy?,Monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167"
36,"Um-mm, yeah right!",Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497"
37,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450"
38,"What, what, what?!",Chandler,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750"
39,What?!,Phoebe,surprise,negative,3,2,3,12,"0:10:19,750","0:10:20,966"
40,He was with her when he wrote this poem.,Phoebe,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496"
41,"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499"
42,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586"
43,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672"
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137"
46,Done.,Joey,neutral,neutral,3,9,3,12,"00:10:39,680","00:10:41,181"
47,Hey!,Rachel,surprise,positive,4,0,3,11,"0:20:23,931","0:20:24,891"
48,Hi!,Ross,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028"
49,What are you doing here?,Rachel,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265"
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185"
51,Oh.,Rachel,neutral,neutral,4,4,3,11,"0:20:29,394","0:20:30,771"
52,Hi.,Ross,neutral,neutral,4,5,3,11,"0:20:30,771","0:20:30,873"
53,Hi.,Rachel,neutral,neutral,4,6,3,11,"0:20:30,873","0:20:31,135"
54,Howd did it go?,Ross,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230"
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446"
56,Im so proud of you.,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991"
57,Me too!,Rachel,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543"
58,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...",Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584"
59,I know.,Rachel,neutral,neutral,4,12,3,11,"00:20:53,752","00:20:54,794"
60,Yeah.,Ross,neutral,neutral,4,13,3,11,"0:20:54,962","0:20:55,380"
61,Yeah.,Rachel,neutral,neutral,4,14,3,11,"0:20:55,380","0:20:56,057"
62,Ameri-can.,Phoebe,neutral,neutral,5,0,3,15,"0:22:18,545","0:22:20,297"
63,Ameri-ccan.,Joey,neutral,neutral,5,1,3,15,"0:22:20,297","0:22:20,476"
64,Ameri-can. Y'know its a,Phoebe,neutral,neutral,5,2,3,15,"00:22:20,589","00:22:23,507"
65,Everybody!!,Sergei,surprise,positive,5,3,3,15,"00:22:25,844","00:22:28,679"
66,Good job Joe! Well done! Top notch!,Chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526"
67,You liked it? You really liked it?,Joey,surprise,positive,6,1,8,22,"0:12:28,194","0:12:29,796"
68,"Oh-ho-ho, yeah!",Chandler,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501"
69,Which part exactly?,Joey,neutral,neutral,6,3,8,22,"0:12:31,655","0:12:33,657"
70,The whole thing! Can we go?,Chandler,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243"
71,"Oh no-no-no, give me some specifics.",Joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746"
72,"I love the specifics, the specifics were the best part!",Chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000"
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,neutral,6,7,8,22,"00:12:43,209","00:12:48,255"
74,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,negative,6,8,8,22,"00:12:49,298","00:12:54,929"
75,You fell asleep!!,Joey,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931"
76,There was no kangaroo!,Joey,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809"
77,They didnt take any of my suggestions!,Joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196"
78,Thats for coming buddy.,Joey,neutral,neutral,6,12,8,22,"0:13:05,940","0:13:07,242"
79,Ill see you later.,Joey,neutral,neutral,6,13,8,22,"0:13:07,242","0:13:08,202"
80,Dont go!,Chandler,sadness,negative,6,14,8,22,"0:13:08,202","0:13:08,804"
81,Im sorry.,Chandler,sadness,negative,6,15,8,22,"0:13:08,804","0:13:09,526"
82,Im so sorry!,Chandler,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832"
83,Look!,Chandler,surprise,negative,6,17,8,22,"0:13:10,945","0:13:11,407"
84,This guy fell asleep!,Chandler,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589"
85,He fell asleep too!,Chandler,anger,negative,6,19,8,22,"0:13:12,589","0:13:13,215"
86,Be mad at him!,Chandler,anger,negative,6,20,8,22,"0:13:13,215","0:13:14,108"
87,"Or, call an ambulance.",Chandler,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244"
88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,neutral,7,0,6,9,"00:12:51,020","00:12:53,897"
89,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193"
90,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,neutral,8,0,6,23,"00:19:17,865","00:19:21,951"
91,"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,neutral,8,1,6,23,"00:19:17,865","00:19:25,204"
92,"Okay, thats enough honey!",Chandler,neutral,neutral,8,2,6,23,"00:19:25,372","00:19:26,706"
93,I dont know.  Let me see the ring.,Customer,neutral,neutral,8,3,6,23,"00:19:28,375","00:19:34,964"
94,"Great! Okay, here.",Chandler,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964"
95,All right.,Customer,neutral,neutral,8,5,6,23,"0:19:37,342","0:19:39,934"
96,Thank you. Thank you. Thank you!  And,Chandler,joy,positive,8,6,6,23,"0:19:39,934","0:19:40,074"
97,What've you been up to?,Chandler,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738"
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,9,1,2,5,"00:01:54,948","00:02:01,203"
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,9,2,2,5,"00:02:01,621","00:02:07,459"
100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758"
101,I know.,Ross,neutral,neutral,9,4,2,5,"00:02:13,091","00:02:14,758"
102,I'm back.,Chandler,neutral,neutral,9,5,2,5,"0:02:16,261","0:02:16,903"
103,"So, are we gonna get together or what?",Jade,neutral,neutral,9,6,2,5,"0:02:16,903","0:02:19,185"
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,9,7,2,5,"00:02:19,347","00:02:25,561"
105,"Great, I'll see you then.",Jade,neutral,neutral,9,8,2,5,"00:02:25,770","00:02:28,647"
106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528"
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,9,10,2,5,"00:02:36,823","00:02:43,620"
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,9,11,2,5,"00:02:47,375","00:02:52,337"
109,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299"
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058"
111,Nobody!,Phoebe,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551"
112,Nobody respects the bucket!,Phoebe,anger,negative,10,1,5,10,"0:11:58,551","0:11:59,947"
113,You wouldn't believe what people put in here!,Phoebe,anger,negative,10,2,5,10,"00:12:00,553","00:12:02,721"
114,Look!,Phoebe,anger,negative,10,3,5,10,"00:12:02,888","00:12:04,597"
115,"Okay, does this look like a garbage can to you?",Phoebe,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016"
116,No.,Monica,neutral,neutral,10,5,5,10,"00:12:04,765","00:12:07,016"
117,This is my wedding.,Ross,neutral,neutral,11,0,4,23,"00:03:10,815","00:03:12,024"
118,"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!",Monica,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737"
119,Fine. Youll-youll watch it on video when we get back.,Ross,neutral,neutral,11,2,4,23,"00:03:18,781","00:03:21,491"
120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704"
121,Thank you.,Phoebe,neutral,neutral,11,4,4,23,"0:03:27,790","0:03:28,791"
122,Thank you.,Phoebe,neutral,neutral,11,5,4,23,"0:03:28,791","0:03:28,931"
123,"All right, lets go! Bye, Pheebs!",Ross,joy,positive,11,6,4,23,"00:03:32,503","00:03:34,463"
124,"Bye, Pheebs!",Joey,joy,positive,11,7,4,23,"00:03:34,631","00:03:36,340"
125,London baby!!,Joey,joy,positive,11,8,4,23,"00:03:40,803","00:03:42,554"
126,"Oh, do you need a hug? You dont have to bring me anything!",Phoebe,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563"
127,Hey!,Chandler,neutral,neutral,12,0,6,4,"00:09:47,295","00:09:49,045"
128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.,Joey,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177"
129,"Thats great, but shouldnt you be on the toilet right now?",Chandler,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890"
130,What?!,Joey,surprise,negative,12,3,6,4,"0:10:04,312","0:10:05,647"
131,Whats wrong with you?,Chandler,disgust,negative,12,4,6,4,"0:10:05,647","0:10:06,929"
132,Nothing!,Joey,neutral,neutral,12,5,6,4,"00:10:07,023","00:10:08,023"
133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.",Joey,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575"
134,"But um, I dont think its anything serious.",Joey,neutral,neutral,12,7,6,4,"00:10:18,743","00:10:21,536"
135,This sounds like a hernia. You have toyou-you go to the doctor!,Chandler,surprise,negative,12,8,6,4,"00:10:21,704","00:10:24,706"
136,"No way! Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!",Joey,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463"
